"artist_full_name","art_title","art_location_name","art_location_street_address","art_location_city","art_location_state","art_location_zip","art_full_address","art_location_long","art_location_lat"
"Robert Phillips","Opossum Temple and Voodoo Pew","Town Lake Hike and Bike Trail","Possum Point - North Bank at Shoal Creek;","Austin","TX",78701,"North Bank at Shoal Creek Austin TX 78701",-97.744097,30.3041251
"Belinda Casey","X","Learning & Research Center","2800  Star of Texas Rd.;","Austin","TX",78719,"2800  Star of Texas Rd. Austin TX 78719",-97.8066293,30.2665587
"Kathleen Ash","Read More Books","North Village Branch Library","2505 Steck Ave.;","Austin","TX",78757,"2505 Steck Ave. Austin TX 78757",-97.7305646,30.3621539
"Rita Starpattern","Outdoor Studio","Central Access Television Facility","1143 Northwestern Ave.;","Austin","TX",78702,"1143 Northwestern Ave. Austin TX 78702",-97.7159391,30.2694977
"Sasha Dela","Variegated Continuum","Mexican American Cultural Center","600 River Street;","Austin","TX",78701,"600 River Street Austin TX 78701",-97.7400431,30.2581564
"Eddie Dixon","Go Forth","Carver Museum","1163 Angelina St.;","Austin","TX",78702,"1163 Angelina St. Austin TX 78702",-97.7240979,30.2700042
"Lori Norwood","Learning to Fly","Milwood Branch","12500 Amherst Dr.;","Austin","TX",78727,"12500 Amherst Dr. Austin TX 78727",-97.7161692,30.4223445
"Damian Priour","The Waller Creek Shelves","Austin Convention Center","500 East Cesar Chavez St.;","Austin","TX",78701,"500 East Cesar Chavez St. Austin TX 78701",-97.7394833,30.2636408
"Kathleen Ash","Sea of Knowledge","North Village Branch Library","2505 Steck Ave.;","Austin","TX",78757,"2505 Steck Ave. Austin TX 78757",-97.7305646,30.3621539
"Andrew Ortiz","Worker","Health and Human Services Administration","7201 Levander Loop;","Austin","TX",78702,"7201 Levander Loop Austin TX 78702",-97.6904186,30.2527847
"Alfredo Martinez","The Children are the Future","Holly Street Power Plant","2400 Holly St.;","Austin","TX",78702,"2400 Holly St. Austin TX 78702",-97.7192254,30.2497726
"Victoria Smith","Lady Bird Johnson Wildflower Spring #1","Health and Human Services Administration","7201 Levander Loop;","Austin","TX",78702,"7201 Levander Loop Austin TX 78702",-97.6904186,30.2527847
"Jimmy Luu","Letterscape","Health and Human Services Campus","7201 Levander Loop;","Austin","TX",78702,"7201 Levander Loop Austin TX 78702",-97.6904186,30.2527847
"Connie Arismendi","Rayo de Esperanza - A Beacon of Hope: Sculpture; Community Kiosk; Benches","Terrazas Branch Library","1105 E. Cesar Chavez Street;","Austin","TX",78702,"1105 E. Cesar Chavez Street Austin TX 78702",-97.7334621,30.2599154
